지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1991-07-21 19:00,.2,0
90,속초,1991-07-21 20:00,.2,0
90,속초,1991-07-21 21:00,0,0
90,속초,1991-07-21 22:00,.7,0
90,속초,1991-07-21 23:00,2.4,0
90,속초,1991-07-22 00:00,7.3,0
90,속초,1991-07-22 01:00,0,0
90,속초,1991-07-22 10:00,0,0
90,속초,1991-07-22 11:00,0,0
90,속초,1991-07-22 17:00,.2,0
90,속초,1991-07-23 04:00,.6,0
90,속초,1991-07-23 05:00,.9,0
90,속초,1991-07-23 06:00,.5,0
90,속초,1991-07-23 07:00,0,0
90,속초,1991-07-23 08:00,0,0
90,속초,1991-07-24 14:00,0,0
90,속초,1991-07-24 15:00,0,0
90,속초,1991-07-25 06:00,0,0
90,속초,1991-07-25 07:00,0,0
90,속초,1991-07-25 08:00,.3,0
90,속초,1991-07-25 09:00,.3,0
90,속초,1991-07-25 10:00,.9,0
90,속초,1991-07-25 11:00,5,0
90,속초,1991-07-25 12:00,2.9,0
90,속초,1991-07-25 13:00,4.3,0
90,속초,1991-07-25 14:00,.4,0
90,속초,1991-07-25 15:00,2.4,0
90,속초,1991-07-25 16:00,17.4,0
90,속초,1991-07-25 17:00,15.1,0
90,속초,1991-07-25 18:00,6.5,0
90,속초,1991-07-25 19:00,12.7,0
90,속초,1991-07-25 20:00,25.1,0
90,속초,1991-07-25 21:00,23.9,0
90,속초,1991-07-25 22:00,3.4,0
90,속초,1991-07-25 23:00,.2,0
90,속초,1991-07-26 00:00,7.5,0
90,속초,1991-07-26 01:00,4.7,0
90,속초,1991-07-26 02:00,0,0
90,속초,1991-07-26 03:00,0,0
90,속초,1991-07-26 04:00,0,0
90,속초,1991-07-28 15:00,0,0
90,속초,1991-07-28 16:00,0,0
90,속초,1991-07-28 17:00,.4,0
90,속초,1991-07-28 18:00,.1,0
90,속초,1991-07-28 19:00,0,0
90,속초,1991-07-28 20:00,0,0
90,속초,1991-07-28 21:00,0,0
90,속초,1991-07-29 02:00,0,0
90,속초,1991-07-29 03:00,.4,0
90,속초,1991-07-29 04:00,.1,0
90,속초,1991-07-29 05:00,.2,0
90,속초,1991-07-29 06:00,.3,0
90,속초,1991-07-29 07:00,.1,0
90,속초,1991-07-29 08:00,.4,0
90,속초,1991-07-29 09:00,0,0
90,속초,1991-07-29 10:00,.1,0
90,속초,1991-07-29 11:00,0,0
90,속초,1991-07-29 12:00,.1,0
90,속초,1991-07-29 13:00,.2,0
90,속초,1991-07-29 14:00,1.2,0
90,속초,1991-07-29 15:00,.5,0
90,속초,1991-07-29 16:00,3.5,0
90,속초,1991-07-29 17:00,6.6,0
90,속초,1991-07-29 18:00,3.5,0
90,속초,1991-07-29 19:00,1.8,0
90,속초,1991-07-29 20:00,1.5,0
90,속초,1991-07-29 21:00,2.8,0
90,속초,1991-07-29 22:00,.3,0
90,속초,1991-07-29 23:00,.4,0
90,속초,1991-07-30 00:00,1.5,0
90,속초,1991-07-30 01:00,.4,0
90,속초,1991-07-30 02:00,0,0
90,속초,1991-07-31 07:00,.1,0
90,속초,1991-07-31 18:00,0,0
90,속초,1991-07-31 19:00,0,0
90,속초,1991-08-02 01:00,.7,0
90,속초,1991-08-02 02:00,7.8,0
90,속초,1991-08-02 03:00,4.2,0
90,속초,1991-08-02 04:00,0,0
90,속초,1991-08-02 05:00,0,0
90,속초,1991-08-02 06:00,11.7,0
90,속초,1991-08-02 07:00,15.6,0
90,속초,1991-08-02 08:00,8,0
90,속초,1991-08-02 09:00,2.6,0
90,속초,1991-08-02 10:00,.7,0
90,속초,1991-08-02 11:00,.4,0
90,속초,1991-08-02 12:00,.1,0
90,속초,1991-08-02 13:00,0,0
90,속초,1991-08-02 14:00,0,0
90,속초,1991-08-02 15:00,.2,0
90,속초,1991-08-02 16:00,.4,0
90,속초,1991-08-02 17:00,.4,0
90,속초,1991-08-02 18:00,.5,0
90,속초,1991-08-02 19:00,.2,0
90,속초,1991-08-02 20:00,.1,0
90,속초,1991-08-02 21:00,.1,0
90,속초,1991-08-02 22:00,0,0
90,속초,1991-08-02 23:00,0,0
90,속초,1991-08-03 00:00,0,0
90,속초,1991-08-04 06:00,0,0
90,속초,1991-08-04 07:00,0,0
90,속초,1991-08-04 11:00,0,0
90,속초,1991-08-04 12:00,0,0
90,속초,1991-08-04 14:00,0,0
90,속초,1991-08-04 15:00,.4,0
90,속초,1991-08-04 16:00,0,0
90,속초,1991-08-04 17:00,0,0
90,속초,1991-08-05 01:00,5.9,0
90,속초,1991-08-05 02:00,1.5,0
90,속초,1991-08-05 03:00,3,0
90,속초,1991-08-05 04:00,.8,0
90,속초,1991-08-05 05:00,0,0
90,속초,1991-08-05 06:00,.2,0
90,속초,1991-08-05 07:00,.1,0
90,속초,1991-08-05 08:00,.1,0
90,속초,1991-08-05 09:00,0,0
90,속초,1991-08-05 10:00,3.2,0
90,속초,1991-08-05 11:00,.1,0
90,속초,1991-08-05 13:00,.6,0
90,속초,1991-08-05 15:00,.2,0
90,속초,1991-08-05 16:00,.7,0
90,속초,1991-08-05 17:00,0,0
90,속초,1991-08-05 18:00,.8,0
90,속초,1991-08-05 19:00,1.3,0
90,속초,1991-08-06 07:00,0,0
90,속초,1991-08-06 08:00,.4,0
90,속초,1991-08-06 09:00,0,0
90,속초,1991-08-06 10:00,0,0
90,속초,1991-08-09 03:00,1,0
90,속초,1991-08-09 04:00,0,0
90,속초,1991-08-09 05:00,0,0
90,속초,1991-08-09 06:00,0,0
90,속초,1991-08-09 07:00,0,0
90,속초,1991-08-09 08:00,0,0
90,속초,1991-08-09 13:00,0,0
90,속초,1991-08-09 14:00,.5,0
90,속초,1991-08-09 15:00,.9,0
90,속초,1991-08-09 16:00,.8,0
90,속초,1991-08-09 17:00,1.2,0
90,속초,1991-08-09 18:00,2,0
90,속초,1991-08-09 19:00,1,0
90,속초,1991-08-09 20:00,.2,0
90,속초,1991-08-09 21:00,.7,0
90,속초,1991-08-09 22:00,2,0
90,속초,1991-08-09 23:00,0,0
90,속초,1991-08-10 00:00,.9,0
90,속초,1991-08-10 01:00,7.2,0
90,속초,1991-08-10 02:00,.8,0
90,속초,1991-08-10 03:00,.6,0
90,속초,1991-08-10 04:00,.4,0
90,속초,1991-08-10 05:00,.1,0
90,속초,1991-08-10 06:00,0,0
90,속초,1991-08-10 07:00,4.5,0
90,속초,1991-08-10 08:00,0,0
90,속초,1991-08-10 09:00,0,0
90,속초,1991-08-10 10:00,0,0
90,속초,1991-08-10 15:00,.8,0
90,속초,1991-08-10 16:00,.1,0
90,속초,1991-08-11 00:00,.4,0
90,속초,1991-08-11 06:00,0,0
90,속초,1991-08-11 07:00,1.3,0
90,속초,1991-08-11 09:00,0,0
90,속초,1991-08-11 10:00,1.6,0
90,속초,1991-08-11 11:00,0,0
90,속초,1991-08-22 03:00,0,0
